Año de Publicación,,,Acceso Abierto,,,Tema Principal,,,Institución de Afiliación,,,Tipo,,,País de Autoría,,
nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,,nombre,cantidad,
2025,14216112,,No,198152822,,Tecnología y estrategias militares,19206156,,"Ministerio de Educación, Cultura, Deportes, Ciencia y Tecnología",3974697,,artículo,210253570,,Estados Unidos de América,32984894,
2020,11234096,,Sí,93542586,,Estudios científicos y económicos diversos,2109973,,Institutos Nacionales de Ciencias Naturales,3895252,,capítulo de libro,24162441,,China,16019102,
2019,10524295,,,,,Hermenéutica e identidad narrativa,980088,,Instituto Nacional de Ciencias de la Fusión,3850033,,conjunto de datos,14301628,,Japón,9838152,
2023,10523455,,,,,Percepción y evaluación auditiva humana,822788,,Centro Nacional de Investigación Científica (Francia),2963656,,tesis,7591433,,Reino Unido de Gran Bretaña e Irlanda del Norte,8854477,
2021,10484991,,,,,Estudios de cristalización y solubilidad,776055,,Academia China de Ciencias,1530089,,preprint,7007096,,Alemania,7364902,
2016,10335581,,,,,Estudios urbanos y sociales franceses,650990,,Departamento de Energía de EE. UU.,1374149,,otro,6307047,,Francia,6056339,
2024,10328196,,,,,Estudios de literatura y cultura alemana,523494,,Universidad de Londres,1275806,,libro,6017644,,India,4908958,
2017,10187754,,,,,Distribución de especies y cambio climático,506283,,Academia de Ciencias de Rusia,1140991,,revisión,4145330,,Canadá,4234758,
2018,10180578,,,,,Derecho constitucional y política estadounidense,466143,,Oficina de Ciencia,1028037,,paratexto,3907393,,Italia,3864120,
2015,9996578,,,,,Estudios de la antigüedad clásica,440548,,Universidad de Míchigan,941328,,guías de biblioteca,1776332,,Brasil,3647131,
2022,9934015,,,,,Estudios e interpretación bíblica,353420,,Universidad de Harvard,887925,,carta,1721285,,Australia,3248906,
2014,9772404,,,,,Historia y filosofía china,334918,,Instituto Nacional de Salud e Investigación Médica (Francia),685680,,informe,987113,,España,3227032,
2013,9241564,,,,,Estudios históricos y análisis sociocultural,330258,,Departamento de Salud y Servicios Humanos de EE. UU.,662195,,entrada de referencia,905203,,Indonesia,3203926,
2012,8787152,,,,,Ciencias sociales y políticas,322265,,Sociedad Max Planck,632514,,revisión por pares,897241,,Federación Rusa,2760797,
2011,8501082,,,,,Procesamiento de imágenes satelitales y fotogrametría,315120,,Asociación Helmholtz de Centros de Investigación Alemanes,560452,,editorial,786340,,"Corea, República de",2238539,
2010,7825182,,,,,Investigación en agricultura y desarrollo rural,303701,,Battelle,547539,,errata,419364,,Países Bajos,2213139,
2009,7335567,,,,,Hidratos de metano y fenómenos relacionados,303484,,Universidad de la Sorbona,536367,,norma,411945,,Polonia,1858233,
2008,6745291,,,,,Estudios de derecho europeo e internacional,300373,,Universidad College de Londres,529075,,materiales suplementarios,66369,,Suiza,1838506,
2007,6351659,,,,,Musicología y análisis musical,298728,,Stanford University,527816,,retractación,23134,,Turquía,1627425,
2026,6156680,,,,,Métodos educativos y uso de medios,298579,,Universidad de Toronto,514299,,software,4756,,Suecia,1440610,
2006,5824658,,,,,Sistemas educativos y política,296285,,Laboratorio Nacional del Noroeste del Pacífico,511647,,base de datos,1350,,Bélgica,1372682,
2005,5338815,,,,,Investigación en geología y paleoclimatología,294787,,Universidad de París-Saclay,504446,,sección de libro,851,,"Irán, República Islámica de",1347981,
2004,4995245,,,,,Reforma y cristianismo moderno temprano,291998,,Universidad de Washington,492577,,componente de informe,436,,"Taiwán, Provincia de China",1180843,
2003,4599250,,,,,"Educación, psicología e investigación social",285721,,Universidad de París (París Cité),479253,,beca,107,,México,1075708,
2002,4324377,,,,,Liderazgo y prácticas educativas,281105,,Institutos Nacionales de Salud,475737,,,,,Dinamarca,1002957,
2001,3712381,,,,,Historia y avances en química,274237,,Universidad de Tokio,475059,,,,,Austria,923670,
2000,3706516,,,,,Astrofísica y ciencias planetarias,273180,,"Instituto Nacional de Investigación para la Agricultura, la Alimentación y el Medio Ambiente",473124,,,,,Israel,860984,
1999,3058398,,,,,Administración pública y análisis político,272521,,Universidad Johns Hopkins,470719,,,,,Portugal,818842,
1998,2951302,,,,,Derecho y ciencias políticas,270745,,Universidad de Oxford,457586,,,,,Malasia,781720,
1997,2769673,,,,,Química analítica y cromatografía,269204,,Departamento de Defensa de EE. UU.,445444,,,,,Chequia,781174,
1996,2672247,,,,,Ciencias sociales y educativas,267433,,Gobierno de India,445407,,,,,Noruega,755653,
1995,2464748,,,,,Política y gestión sanitaria,266912,,Consejo Superior de Investigaciones Científicas,445162,,,,,Sudáfrica,755531,
1994,2326287,,,,,Artículos de investigación en física e ingeniería,265585,,Universidad de São Paulo,435501,,,,,Egipto,741863,
1993,2208407,,,,,Estudios arqueológicos e históricos,264853,,Mass General Brigham,429326,,,,,Grecia,720161,
1992,2108579,,,,,Geofísica y mediciones de gravedad,264097,,Universidad de Cornell,427809,,,,,Finlandia,714894,
1991,2021927,,,,,Investigación en ciencias médicas y de la salud,261505,,Universidad de Lyon,425640,,,,,Arabia Saudita,679721,
1990,2018940,,,,,Diagnóstico y tratamiento de enfermedades hepáticas,252881,,Consejo de los Institutos Federales Suizos de Tecnología,423301,,,,,Ucrania,626855,
1989,1861488,,,,,Ciencias sociales y gobernanza,250501,,Consejo de Estado de la República Popular China,420438,,,,,Pakistán,624624,
1988,1745434,,,,,Estudios teóricos y experimentales de física de partículas,249491,,Universidad de Cambridge,419657,,,,,Singapur,616312,
1987,1671359,,,,,Historia y avances en astronomía,248023,,"Universidad de California, Berkeley",416863,,,,,Argentina,586616,
1986,1586966,,,,,Análisis geológico y geoquímico,247856,,Institutos de Hospitalización y Cuidado de Carácter Científico (Italia),416071,,,,,Hong Kong,572738,
1985,1506400,,,,,Arqueología y estudios históricos,246908,,Laboratorio de Ciencias Moleculares Ambientales,410554,,,,,Irlanda,538309,
1984,1445347,,,,,"Raza, historia y sociedad estadounidense",244668,,Departamento de Asuntos de Veteranos de EE. UU.,407204,,,,,Colombia,528539,
1983,1391957,,,,,Casos legales y regulaciones,244454,,Universidad de París Ciencias y Letras,404548,,,,,Nueva Zelanda,527411,
1980,1351141,,,,,Estudios de botánica y ecología vegetal,243049,,Instituto de Ciencias Humanas y Sociales,403961,,,,,Hungría,501046,
1981,1342566,,,,,Técnicas de procesamiento del lenguaje natural,241749,,Universidad Tsinghua,379936,,,,,Nigeria,499598,
1982,1342279,,,,,Estudios históricos y literarios,235549,,"Universidad de California, Los Ángeles",373910,,,,,Chile,478010,
1979,1233638,,,,,Procesos de fabricación y optimización,233340,,Administración Nacional de Aeronáutica y del Espacio,372910,,,,,Tailandia,442342,
1978,1189207,,,,,Estudios de negocios y gestión,231828,,Universidad de Chicago,371126,,,,,Rumanía,437540,
1977,1140826,,,,,Estudios de plantas y animales,231568,,Universidad de Zhejiang,366379,,,,,Bangladés,293366,
1976,1095201,,,,,"Resultados cardiacos, anestésicos y quirúrgicos",230702,,Universidad de Columbia,364563,,,,,Eslovaquia,287501,
1975,1076282,,,,,Historia y política europea,227296,,Administración de Salud para Veteranos,362417,,,,,Túnez,285049,
1974,1025170,,,,,Lingüística y evolución del lenguaje,225694,,Universidad de Pensilvania,359963,,,,,Irak,274955,
1970,994407,,,,,Química y estudios de estereoquímica,224683,,Universidad de Yale,358883,,,,,Vietnam,273593,
1973,983670,,,,,Estudios de genómica y filogenética,224675,,Universidad de la Academia China de Ciencias,355143,,,,,Croacia,263891,
1972,962192,,,,,Salud pública y nutrición,223296,,Gobierno de la República Francesa,352860,,,,,Serbia,245375,
1971,921487,,,,,Patógenos vegetales y enfermedades fúngicas,221523,,Asistencia Pública – Hospitales de París,350262,,,,,Marruecos,243560,
1969,849386,,,,,Desarrollo de PYMEs y marketing digital,220661,,Universidad Jiao Tong de Shanghái,346275,,,,,Bulgaria,225883,
1968,793824,,,,,Física de la superconductividad y el magnetismo,219847,,Universidad de Pekín,345894,,,,,Eslovenia,221035,
1967,742839,,,,,Estudios de dieta y metabolismo,218887,,Instituto de Tecnología de Massachusetts,345668,,,,,Perú,219971,
1966,691053,,,,,Estudios de sociología y educación,214372,,Universidad Estatal de Ohio,345549,,,,,Argelia,214347,
1965,637437,,,,,Educación y desarrollo del carácter,214238,,Universidad de Wisconsin-Madison,342187,,,,,Emiratos Árabes Unidos,196764,
1964,590160,,,,,"Salud, medicina y sociedad",214172,,Universidad de Florida,338433,,,,,Ecuador,186091,
1963,557844,,,,,Procesos catalíticos en ciencia de materiales,213409,,Universidad de California en San Diego,337143,,,,,Filipinas,179820,
1962,507481,,,,,Redes neuronales y sus aplicaciones,212942,,CNRS Ingeniería,335236,,,,,Etiopía,166306,
1960,487984,,,,,Investigación en psicoanálisis y psicopatología,212927,,Universidad de Milán,333760,,,,,Kenia,157077,
1961,481558,,,,,Investigación aplicada en ingeniería,212753,,Universidad de Kioto,331330,,,,,Cuba,149597,
1959,430293,,,,,Historia e innovaciones médicas,212699,,Colegio Imperial de Londres,326603,,,,,Panamá,146586,
1958,403438,,,,,Comercio global y economía,212693,,Universidad de Columbia Británica,325106,,,,,Jordania,136927,
1957,382644,,,,,Dinámica del plasma solar y espacial,211667,,Universidad de Minnesota,321480,,,,,Uzbekistán,125743,
1956,361351,,,,,Investigación y tratamientos médicos,209368,,Gobierno de Australia,317303,,,,,Ghana,123566,
1955,353036,,,,,Investigación en ciencias sociales,205227,,Universidad de Carolina del Norte en Chapel Hill,316954,,,,,Lituania,121253,
1954,341491,,,,,Dinámica de paz y seguridad global,204995,,Academia Polaca de Ciencias,314233,,,,,Kazajistán,120642,
